BAM AND SAM real run time and space ,,,,,BAM ,Array Size ,Time,Space,,SAM,Array Size,Time,Space
,,,,,,8,9.89E-05,2416,,,8,0.003124952,16940
,,,,,,16,0.000302792,2616,,,16,0.027111053,28992
,,,,,,24,0.000746727,5440,,,24,0.208606243,54472
,,,,,,32,0.001345873,9680,,,32,0.259851694,83600
,,,,,,40,0.002297878,15528,,,40,0.182309389,114040
,,,,,,48,0.003580093,23176,,,48,1.01527524,156616
,,,,,,56,0.012219429,26888,,,56,0.253771782,188472
,,,,,,64,0.012320518,37880,,,64,1.612000227,265904
,,,,,,72,0.017032623,42488,,,72,0.227151632,303672
,,,,,,80,0.020238638,57536,,,80,1.390091658,368936
,,,,,,88,0.026886702,63744,,,88,0.239376307,396216
,,,,,,96,0.035443306,83920,,,96,6.87364459,538024
,,,,,,104,0.044870853,91280,,,104,0.461554527,556200
,,,,,,112,0.060117483,116720,,,112,1.360116243,644200
,,,,,,120,0.054391146,125360,,,120,0.352422476,733096
,,,,,,128,0.090152264,156704,,,128,10.24809694,912128
,,,,,,136,0.095789909,166752,,,136,0.452051401,883368
,,,,,,144,0.124024391,176800,,,144,1.750135899,1023464
,,,,,,152,0.142665386,217448,,,152,0.688432932,1141224
,,,,,,160,0.155226231,229096,,,160,8.347414017,1305224
,,,,,,168,0.181405783,240744,,,168,0.655102015,1314280
,,,,,,176,0.162416935,292040,,,176,2.215158701,1452648
,,,,,,184,0.227127314,305480,,,184,0.727469444,1604968
,,,,,,192,0.174547195,318920,,,192,47.72226787,1888888
,,,,,,200,0.250859499,332360,,,200,0.626033545,1847400
,,,,,,208,0.268115282,399304,,,208,2.166358709,2033400
,,,,,,216,0.308297157,414792,,,216,0.753403902,2221672
,,,,,,224,0.328794956,430280,,,224,9.661282539,2447176
,,,,,,232,0.328751326,445768,,,232,0.999760866,2460520
,,,,,,240,0.356501818,530664,,,240,3.354719877,2712312
,,,,,,248,0.434896231,548456,,,248,1.140087605,2766312
,,,,,,256,0.415467024,566248,,,256,74.76625562,3350672
,,,,,,264,0.889427662,584152,,,264,1.502013683,3217028
,,,,,,272,1.136918306,689304,,,272,3.294708014,3455892
,,,,,,280,1.138823748,709656,,,280,1.232225418,3502212
,,,,,,288,1.323491812,730008,,,288,11.8283124,3834388
,,,,,,296,1.791166067,750360,,,296,1.542647839,3901444
,,,,,,304,1.888698816,770712,,,304,3.993947983,4414228
,,,,,,312,2.191674709,903744,,,312,1.623552561,4464324
,,,,,,320,2.856278419,926976,,,320,55.8590951,4866772
,,,,,,328,2.973264217,950208,,,328,1.582257271,4799300
,,,,,,336,3.435118914,973440,,,336,4.488966942,5101332
,,,,,,344,3.939385414,996672,,,344,1.910458088,5144772
,,,,,,352,4.444841146,1019904,,,352,13.52126575,5837860
,,,,,,360,4.835548162,1190424,,,360,2.102387428,5929924
,,,,,,368,4.953552723,1216920,,,368,5.266539812,6270356
,,,,,,376,5.631569624,1243416,,,376,2.258061171,6352196
,,,,,,384,6.34643507,1269912,,,384,339.1605954,6937556
,,,,,,392,7.044121742,1296408,,,392,2.543193579,6749636
,,,,,,400,8.087521553,1322904,,,400,6.417270899,7121044
,,,,,,408,7.963810682,1535904,,,408,2.794873953,7577412
,,,,,,416,9.951171398,1566048,,,416,17.46123528,8063156
,,,,,,424,10.11254668,1596192,,,424,2.742399931,8012228
,,,,,,432,11.36102009,1626336,,,432,6.895280361,8584420
,,,,,,440,11.74000573,1656480,,,440,3.17213583,8599620
,,,,,,448,12.07534671,1686624,,,448,69.1241467,9191732
,,,,,,456,15.19877386,1716768,,,456,4.413626194,9060548
,,,,,,464,17.50317454,1984992,,,464,10.65613842,9526164
,,,,,,472,18.59918523,2019232,,,472,4.606151819,10131780
,,,,,,480,17.64117527,2053472,,,480,21.21453261,10712100
,,,,,,488,17.10847187,2087712,,,488,3.998320103,10633924
,,,,,,496,18.73557639,2121952,,,496,9.065823555,11144980
,,,,,,504,19.32761097,2156192,,,504,3.922691107,11148884
,,,,,,512,20.46659827,2190432,,,512,516.1195228,12305836
,,,,,,520,23.3807826,2224672,,,520,4.716070652,11854204
,,,,,,528,23.59044766,2563616,,,528,10.74171162,12406332
,,,,,,536,24.64869785,2602464,,,536,4.821774721,12393468
,,,,,,544,26.26971006,2641312,,,544,25.112427,13771532
,,,,,,552,27.75492096,2680160,,,552,5.041932344,13652348
,,,,,,560,29.27265167,2719008,,,560,10.7379396,14252604
,,,,,,568,30.46446109,2757856,,,568,5.060230494,14233084
,,,,,,576,33.56167006,2796704,,,576,84.76127028,15070060
,,,,,,584,34.90411425,2835552,,,584,5.525743008,14902412
,,,,,,592,34.81806493,2874400,,,592,13.13144636,15566316
,,,,,,600,36.9247005,3302696,,,600,6.084959745,15745468
,,,,,,608,42.07876062,3346728,,,608,30.22584915,16562428
,,,,,,616,42.30909395,3390760,,,616,5.881950855,16366140
,,,,,,624,44.14366865,3434792,,,624,13.12975502,17978188